Papyri.info URL	Main identifier	Other identifiers	Title	Location	Date	Languages	Image URL	Direct image URLs	Filesystem identifier
https://papyri.info/ddbdp/rom.mil.rec;1;91	rom.mil.rec 1 91	P.Dura 64,P.CtYBR inv. DP 15 qua,yale 4400150000	Letters to the Tribune from a Praepositus	Dura - Europos	221 CE	la, la	http://hdl.handle.net/10079/digcoll/2771363	https://imageserver.library.yale.edu/digcoll:2772957/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772847/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772960/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772954/a/b/15000.jpg	rom.mil.rec_1_91
https://papyri.info/ddbdp/rom.mil.rec;1;92	rom.mil.rec 1 92	P.Dura 67,P.CtYBR inv. DP 16(B) fol,yale 4400164200	Copy of Letter with Lists of Names by Centuries and Turmae	Dura - Europos	222 CE - 225 CE	la, la	http://hdl.handle.net/10079/digcoll/2771429	https://imageserver.library.yale.edu/digcoll:2772649/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773856/a/b/15000.jpg	rom.mil.rec_1_92
https://papyri.info/ddbdp/rom.mil.rec;1;93	rom.mil.rec 1 93	P.Dura 76,P.CtYBR inv. DP 37,yale 4400370000	Fragmentary Letter	Dura - Europos	210 CE - 225 CE	la, la	http://hdl.handle.net/10079/digcoll/2771456	https://imageserver.library.yale.edu/digcoll:2772875/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772753/a/b/15000.jpg	rom.mil.rec_1_93
https://papyri.info/ddbdp/rom.mil.rec;1;94	rom.mil.rec 1 94	ChLA 7 323,P.CtYBR inv. DP 40(A) qua,yale 4400404100	Fragments de lettres	Dura - Europos	232 CE - 238 CE	la, la	http://hdl.handle.net/10079/digcoll/2771690	https://imageserver.library.yale.edu/digcoll:2772908/a/b/15000.jpg	rom.mil.rec_1_94
https://papyri.info/ddbdp/rom.mil.rec;1;95	rom.mil.rec 1 95	ChLA 7 324,P.CtYBR inv. DP 40(B) qua,yale 4400404200	Listes de soldats et fragments de lettres (?)	Dura - Europos	235 CE - 238 CE	la, la	http://hdl.handle.net/10079/digcoll/2771864	https://imageserver.library.yale.edu/digcoll:2773942/a/b/15000.jpg	rom.mil.rec_1_95
https://papyri.info/ddbdp/rom.mil.rec;1;96	rom.mil.rec 1 96	P.Dura 81,P.CtYBR inv. DP 29(B),yale 4400294200	Fragment of the Copy of a Letter	Dura - Europos	243 CE - 244 CE	la, la	http://hdl.handle.net/10079/digcoll/2771662	https://imageserver.library.yale.edu/digcoll:2773892/a/b/15000.jpg	rom.mil.rec_1_96
https://papyri.info/ddbdp/rom.mil.rec;1;97	rom.mil.rec 1 97	P.Dura 74,P.CtYBR inv. DP 21,yale 4400210000	Fragmentary Correspondence	Dura - Europos	210 CE - 249 CE	la, la	http://hdl.handle.net/10079/digcoll/2771546	https://imageserver.library.yale.edu/digcoll:2773864/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772848/a/b/15000.jpg	rom.mil.rec_1_97
https://papyri.info/ddbdp/rom.mil.rec;1;98	rom.mil.rec 1 98	ChLA 6 315,P.CtYBR inv. DP 4 qua,yale 4400040000	Lettres circulaires	Dura - Europos	208 CE	la, la	http://hdl.handle.net/10079/digcoll/2771356	https://imageserver.library.yale.edu/digcoll:2772841/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772845/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772705/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772709/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773862/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772714/a/b/15000.jpg	rom.mil.rec_1_98
https://papyri.info/ddbdp/rom.mil.rec;1;99	rom.mil.rec 1 99	P.Dura 56,P.CtYBR inv. DP 8 fol,yale 4400080000	Letters from Provincial Headquarters, Assigning Mounts	Dura - Europos	208 CE	la, la	http://hdl.handle.net/10079/digcoll/2771675	https://imageserver.library.yale.edu/digcoll:2772886/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772889/a/b/15000.jpg	rom.mil.rec_1_99
https://papyri.info/ddbdp/rom.mil.rec;1;100	rom.mil.rec 1 100	P.Dura 58,P.CtYBR inv. DP 63(B) qua,yale 4400634200	Copy of Letter Assigning Mounts	Dura - Europos	240 CE - 250 CE	la, la	http://hdl.handle.net/10079/digcoll/2771446	https://imageserver.library.yale.edu/digcoll:2773857/a/b/15000.jpg	rom.mil.rec_1_100
